year,month,monthly_revenue,order_count
2003,1,116692.77,5
2003,2,128403.64,3
2003,3,160517.14,6
2003,4,185848.59,7
2003,5,179435.55,6
2003,6,150470.77,7
2003,7,201940.36,7
2003,8,178257.11,5
2003,9,236697.85,8
2003,10,514336.21,18
2003,11,988025.15,30
2003,12,276723.25,9
2004,1,292385.21,8
2004,2,289502.84,11
2004,3,217691.26,8
2004,4,187575.77,10
2004,5,248325.30,8
2004,6,343370.74,12
2004,7,325563.49,11
2004,8,419327.09,12
2004,9,283799.80,12
2004,10,500233.86,13
2004,11,979291.98,33
2004,12,428838.17,13
2005,1,307737.02,12
2005,2,317192.17,12
2005,3,359711.96,13
2005,4,344820.62,12
2005,5,441474.94,15
